,ID,Longitude,Latitude,LL,Speed,Altitude,H_accuracy,V_accuracy,Timestamp
148387,33,-73.547435,45.547262,"(-73.547435, 45.547262)",1.71,16.329102,5.0,3.0,2017-09-20 00:13:54UTC
148421,33,-73.547564,45.547048,"(-73.547564, 45.547048)",1.44,15.834961,5.0,3.0,2017-09-20 00:14:10UTC
148455,33,-73.547712,45.546846,"(-73.547712, 45.546846)",1.63,15.392059,5.0,3.0,2017-09-20 00:14:27UTC
148492,33,-73.547888,45.546643,"(-73.547888, 45.546643)",1.66,16.226257,5.0,3.0,2017-09-20 00:14:45UTC
148540,33,-73.548172,45.546519,"(-73.548172, 45.546519)",1.51,17.056972,5.0,3.0,2017-09-20 00:15:08UTC
148578,33,-73.54823,45.546292,"(-73.54823, 45.546292)",1.65,16.941636,5.0,3.0,2017-09-20 00:15:27UTC
148612,33,-73.548398,45.546093,"(-73.548398, 45.546093)",1.23,18.247592,5.0,3.0,2017-09-20 00:15:46UTC
148644,33,-73.548518,45.545879,"(-73.548518, 45.545879)",1.3,18.686602,5.0,3.0,2017-09-20 00:16:03UTC
148677,33,-73.548577,45.545656,"(-73.548577, 45.545656)",1.29,18.990167,5.0,3.0,2017-09-20 00:16:18UTC
148708,33,-73.548708,45.545441,"(-73.548708, 45.545441)",1.59,19.016913,5.0,3.0,2017-09-20 00:16:37UTC
148748,33,-73.549001,45.545343,"(-73.549001, 45.545343)",1.28,18.825362,5.0,3.0,2017-09-20 00:16:58UTC
148777,33,-73.549302,45.545432,"(-73.549302, 45.545432)",1.16,22.699994,5.0,3.0,2017-09-20 00:17:16UTC
148805,33,-73.549583,45.54555,"(-73.549583, 45.54555)",0.95,24.081331,5.0,3.0,2017-09-20 00:17:36UTC
148838,33,-73.549857,45.545674,"(-73.549857, 45.545674)",1.12,23.990958,5.0,3.0,2017-09-20 00:17:54UTC
148876,33,-73.550164,45.545769,"(-73.550164, 45.545769)",1.25,24.253382,5.0,3.0,2017-09-20 00:18:13UTC
148907,33,-73.550432,45.545893,"(-73.550432, 45.545893)",1.25,24.988113,10.0,3.0,2017-09-20 00:18:32UTC
148939,33,-73.550751,45.545941,"(-73.550751, 45.545941)",1.53,25.954348,10.0,3.0,2017-09-20 00:18:52UTC
148973,33,-73.551039,45.546042,"(-73.551039, 45.546042)",1.3,26.884942,10.0,3.0,2017-09-20 00:19:10UTC
149012,33,-73.55135,45.546135,"(-73.55135, 45.546135)",1.49,27.738516,10.0,3.0,2017-09-20 00:19:30UTC
149067,33,-73.551676,45.54614,"(-73.551676, 45.54614)",0.22,28.394271,10.0,4.0,2017-09-20 00:20:01UTC
149123,33,-73.551969,45.546049,"(-73.551969, 45.546049)",1.62,28.716299,10.0,3.0,2017-09-20 00:20:29UTC
149158,33,-73.55212,45.545844,"(-73.55212, 45.545844)",2.8,28.907638,10.0,3.0,2017-09-20 00:20:45UTC
645026,53,-73.6556513,45.5638084,"(-73.6556513, 45.5638084)",0.0,,21.3099994659424,0.0,2017-09-22 21:34:59UTC
645132,53,-73.6558361,45.5642517,"(-73.6558361, 45.5642517)",0.0,,31.6459999084473,0.0,2017-09-22 21:35:17UTC
645204,53,-73.6556989,45.5643073,"(-73.6556989, 45.5643073)",0.0,,19.443000793457,0.0,2017-09-22 21:35:30UTC
